,city,country,parameter,value,unit
112,Hapur,IN,no2,40.6,µg/m³
113,Delhi,IN,so2,19.0,µg/m³
114,Delhi,IN,no2,131.0,µg/m³
115,Delhi,IN,o3,38.0,µg/m³
116,Delhi,IN,pm25,166.0,µg/m³
117,Delhi,IN,pm10,206.0,µg/m³
118,Delhi,IN,co,20000.0,µg/m³
119,Varanasi,IN,no2,156.6,µg/m³
120,Varanasi,IN,co,1620.0,µg/m³
121,Varanasi,IN,o3,8.23,µg/m³
122,Varanasi,IN,pm10,519.0,µg/m³
123,Varanasi,IN,so2,20.7,µg/m³
124,Varanasi,IN,pm25,288.0,µg/m³
125,Varanasi,IN,co,0.0,µg/m³
126,Varanasi,IN,co,0.0,µg/m³
127,Varanasi,IN,co,0.0,µg/m³
128,Varanasi,IN,co,0.0,µg/m³
129,Varanasi,IN,co,0.0,µg/m³
130,Varanasi,IN,co,0.0,µg/m³
131,Varanasi,IN,co,0.0,µg/m³
132,Varanasi,IN,co,0.0,µg/m³
133,Varanasi,IN,co,0.0,µg/m³
134,Varanasi,IN,co,0.0,µg/m³
135,Varanasi,IN,co,0.0,µg/m³
136,Varanasi,IN,co,520.0,µg/m³
137,Varanasi,IN,o3,14.5,µg/m³
138,Varanasi,IN,pm10,612.0,µg/m³
139,Varanasi,IN,co,0.0,µg/m³
140,Varanasi,IN,co,0.0,µg/m³
141,Varanasi,IN,co,0.0,µg/m³
142,Varanasi,IN,co,0.0,µg/m³
143,Varanasi,IN,co,0.0,µg/m³
144,Varanasi,IN,co,0.0,µg/m³
145,Varanasi,IN,co,0.0,µg/m³
146,Varanasi,IN,co,0.0,µg/m³
147,Varanasi,IN,co,0.0,µg/m³
148,Varanasi,IN,co,0.0,µg/m³
149,Varanasi,IN,co,0.0,µg/m³
150,Varanasi,IN,co,0.0,µg/m³
151,Varanasi,IN,co,0.0,µg/m³
152,Varanasi,IN,no2,34.22,µg/m³
153,Varanasi,IN,so2,30.39,µg/m³
154,Varanasi,IN,pm25,22.0,µg/m³
155,Varanasi,IN,pm10,0.0,µg/m³
156,Varanasi,IN,pm25,54.0,µg/m³
157,Varanasi,IN,co,0.0,µg/m³
158,Varanasi,IN,co,0.0,µg/m³
159,Varanasi,IN,co,0.0,µg/m³
160,Varanasi,IN,co,0.0,µg/m³
161,Varanasi,IN,co,0.0,µg/m³
162,Varanasi,IN,co,0.0,µg/m³
163,Varanasi,IN,co,0.0,µg/m³
164,Varanasi,IN,co,0.0,µg/m³
165,Varanasi,IN,co,0.0,µg/m³
166,Varanasi,IN,co,0.0,µg/m³
167,Varanasi,IN,co,0.0,µg/m³
168,Varanasi,IN,co,0.0,µg/m³
169,Varanasi,IN,co,0.0,µg/m³
170,Varanasi,IN,co,0.0,µg/m³
171,Varanasi,IN,co,0.0,µg/m³
172,Varanasi,IN,co,0.0,µg/m³
173,Varanasi,IN,co,0.0,µg/m³
174,Varanasi,IN,co,0.0,µg/m³
175,Varanasi,IN,co,0.0,µg/m³
176,Varanasi,IN,co,0.0,µg/m³
177,Varanasi,IN,co,0.0,µg/m³
178,Varanasi,IN,co,0.0,µg/m³
179,Varanasi,IN,co,0.0,µg/m³
180,Varanasi,IN,co,0.0,µg/m³
181,Varanasi,IN,co,0.0,µg/m³
182,Varanasi,IN,co,0.0,µg/m³
183,Varanasi,IN,co,0.0,µg/m³
184,Varanasi,IN,o3,16.46,µg/m³
185,Varanasi,IN,no2,4.89,µg/m³
186,Varanasi,IN,so2,45.06,µg/m³
187,Mini secretariat 301/13,IN,o3,23.62,µg/m³
188,Mini secretariat 301/13,IN,so2,1.25,µg/m³
189,Mini secretariat 301/13,IN,pm25,69.13,µg/m³
190,Mini secretariat 301/13,IN,pm10,307.89,µg/m³
191,Mini secretariat 301/13,IN,co,520.0,µg/m³
192,Mini secretariat 301/13,IN,no2,0.54,µg/m³
193,Mini secretariat 301/13,IN,o3,11.23,µg/m³
194,Mini secretariat 301/13,IN,no2,16.43,µg/m³
195,Mini secretariat 301/13,IN,pm25,12.3,µg/m³
196,Mini secretariat 301/13,IN,pm10,45.5,µg/m³
197,Mini secretariat 301/13,IN,co,300.0,µg/m³
198,Mini secretariat 301/13,IN,so2,999.99,µg/m³
199,Asanol,IN,so2,1.22,µg/m³
200,Asanol,IN,pm25,33.96,µg/m³
201,Asanol,IN,pm10,58.41,µg/m³
202,Asanol,IN,co,1020.0,µg/m³
203,Asanol,IN,o3,63.24,µg/m³
204,Asanol,IN,no2,15.33,µg/m³
205,Asansol,IN,o3,4.87,µg/m³
206,Asansol,IN,so2,3.43,µg/m³
207,Asansol,IN,pm25,20.53,µg/m³
208,Asansol,IN,pm10,22.55,µg/m³
209,Asansol,IN,co,1070.0,µg/m³
210,Asansol,IN,no2,37.64,µg/m³
211,Asansol,IN,pm25,20.25,µg/m³
212,Asansol,IN,o3,8.68,µg/m³
213,Asansol,IN,so2,3.57,µg/m³
214,Asansol,IN,co,590.0,µg/m³
215,Asansol,IN,no2,8.34,µg/m³
216,Asansol,IN,pm10,42.82,µg/m³
217,Asansol,IN,co,1840.0,µg/m³
218,Asansol,IN,o3,7.36,µg/m³
219,Asansol,IN,no2,87.87,µg/m³
220,Asansol,IN,so2,10.61,µg/m³
221,Asansol,IN,pm25,38.82,µg/m³
222,Asansol,IN,pm10,103.33,µg/m³
223,Udaipur,IN,pm25,12.0,µg/m³
224,Udaipur,IN,pm10,22.0,µg/m³
225,Udaipur,IN,o3,26.5,µg/m³
226,Udaipur,IN,so2,8.47,µg/m³
227,Udaipur,IN,no2,8.56,µg/m³
228,Udaipur,IN,co,1090.0,µg/m³
229,Udaipur,IN,so2,9.91,µg/m³
230,Udaipur,IN,no2,11.04,µg/m³
231,Udaipur,IN,o3,8.72,µg/m³
232,Udaipur,IN,co,770.0,µg/m³
233,Udaipur,IN,pm25,62.87,µg/m³
234,Udaipur,IN,pm10,122.38,µg/m³
235,Delhi,IN,pm25,23.0,µg/m³
