,city,country,parameter,value,unit
1660,Bengaluru,IN,so2,5.88,µg/m³
1661,Bengaluru,IN,co,1590.0,µg/m³
1662,Bengaluru,IN,pm10,52.74,µg/m³
1663,Bengaluru,IN,so2,6.02,µg/m³
1664,Bengaluru,IN,no2,26.2,µg/m³
1665,Circuit House,IN,o3,11.72,µg/m³
1666,Circuit House,IN,pm25,64.35,µg/m³
1667,Circuit House,IN,pm10,112.52,µg/m³
1668,Circuit House,IN,so2,0.0,µg/m³
1669,Circuit House,IN,pm25,28.74,µg/m³
1670,Circuit House,IN,pm10,49.43,µg/m³
1671,Circuit House,IN,o3,15.87,µg/m³
1672,Circuit House,IN,co,270.0,µg/m³
1673,Circuit House,IN,so2,0.0,µg/m³
1674,Circuit House,IN,no2,32.1,µg/m³
1675,Circuit House,IN,co,450.0,µg/m³
1676,Circuit House,IN,no2,10.38,µg/m³
1677,Delhi,IN,no2,97.29,µg/m³
1678,Delhi,IN,co,2330.0,µg/m³
1679,Delhi,IN,pm25,48.99,µg/m³
1680,Delhi,IN,pm10,684.07,µg/m³
1681,Ajmer,IN,so2,7.85,µg/m³
1682,Ajmer,IN,no2,7.72,µg/m³
1683,Ajmer,IN,o3,42.99,µg/m³
1684,Ajmer,IN,pm25,21.9,µg/m³
1685,Ajmer,IN,pm10,51.9,µg/m³
1686,Ajmer,IN,co,440.0,µg/m³
1687,Ajmer,IN,pm25,118.0,µg/m³
1688,Ajmer,IN,pm10,126.0,µg/m³
1689,Ajmer,IN,so2,14.0,µg/m³
1690,Ajmer,IN,no2,62.0,µg/m³
1691,Ajmer,IN,co,75000.0,µg/m³
1692,Ajmer,IN,pm25,46.4,µg/m³
1693,Ajmer,IN,pm10,84.7,µg/m³
1694,Ajmer,IN,no2,11.03,µg/m³
1695,Ajmer,IN,so2,8.59,µg/m³
1696,Ajmer,IN,co,1240.0,µg/m³
1697,Ajmer,IN,o3,62.46,µg/m³
1698,Nagpur,IN,no2,28.37,µg/m³
1699,Nagpur,IN,co,140.0,µg/m³
1700,Nagpur,IN,pm25,48.77,µg/m³
1701,Nagpur,IN,pm10,88.46,µg/m³
1702,Nagpur,IN,so2,7.41,µg/m³
1703,Nagpur,IN,o3,24.0,µg/m³
1704,Ajmer,IN,pm10,138.2,µg/m³
1705,Ajmer,IN,no2,23.32,µg/m³
1706,Ajmer,IN,so2,7.14,µg/m³
1707,Ajmer,IN,o3,85.3,µg/m³
1708,Ajmer,IN,co,140.0,µg/m³
1709,MCGM,IN,so2,9.8,µg/m³
1710,MCGM,IN,co,270.0,µg/m³
1711,MCGM,IN,pm25,4.0,µg/m³
1712,MCGM,IN,pm10,46.0,µg/m³
1713,MCGM,IN,co,230.0,µg/m³
1714,MCGM,IN,no2,4.66,µg/m³
1715,MCGM,IN,o3,3.55,µg/m³
1716,MCGM,IN,pm25,27.0,µg/m³
1717,MCGM,IN,pm10,32.0,µg/m³
1718,MCGM,IN,no2,13.31,µg/m³
1719,MCGM,IN,o3,3.26,µg/m³
1720,MCGM,IN,so2,7.32,µg/m³
1721,Yadgir,IN,co,320.0,µg/m³
1722,Yadgir,IN,pm25,6.0,µg/m³
1723,Yadgir,IN,pm10,18.0,µg/m³
1724,Yadgir,IN,no2,13.1,µg/m³
1725,Yadgir,IN,so2,7.3,µg/m³
1726,Yadgir,IN,o3,17.8,µg/m³
1727,Gaya,IN,o3,131.2,µg/m³
1728,Gaya,IN,pm25,105.0,µg/m³
1729,Gaya,IN,so2,9.5,µg/m³
1730,Gaya,IN,no2,43.7,µg/m³
1731,Gaya,IN,co,680.0,µg/m³
1732,Muzaffarpur,IN,so2,16.9,µg/m³
1733,Muzaffarpur,IN,pm25,245.0,µg/m³
1734,Muzaffarpur,IN,no2,43.4,µg/m³
1735,Muzaffarpur,IN,o3,2.4,µg/m³
1736,Muzaffarpur,IN,co,2080.0,µg/m³
1737,Jodhpur,IN,no2,68.44,µg/m³
1738,Jodhpur,IN,pm25,146.3,µg/m³
1739,Jodhpur,IN,pm10,353.0,µg/m³
1740,Jodhpur,IN,co,70.0,µg/m³
1741,Jodhpur,IN,so2,4.81,µg/m³
1742,Jodhpur,IN,o3,5.63,µg/m³
1743,Gaya,IN,no2,24.3,µg/m³
1744,Gaya,IN,o3,61.2,µg/m³
1745,Gaya,IN,pm25,32.0,µg/m³
1746,Gaya,IN,so2,16.8,µg/m³
1747,Gaya,IN,co,920.0,µg/m³
1748,Jodhpur,IN,pm25,0.0,µg/m³
1749,Jodhpur,IN,pm10,0.0,µg/m³
1750,Jodhpur,IN,so2,6.23,µg/m³
1751,Jodhpur,IN,co,420.0,µg/m³
1752,Jodhpur,IN,o3,0.0,µg/m³
1753,Jodhpur,IN,no2,0.0,µg/m³
1754,Patna,IN,co,480.0,µg/m³
1755,Patna,IN,so2,1.73,µg/m³
1756,Patna,IN,pm25,0.0,µg/m³
1757,Patna,IN,pm10,44.69,µg/m³
1758,Patna,IN,o3,0.0,µg/m³
1759,Patna,IN,no2,23.51,µg/m³
1760,Delhi,IN,o3,75.1,µg/m³
1761,Delhi,IN,co,150.0,µg/m³
1762,Delhi,IN,so2,6.3,µg/m³
1763,Delhi,IN,no2,15.5,µg/m³
1764,Delhi,IN,pm25,38.16,µg/m³
1765,Delhi,IN,pm10,132.0,µg/m³
1766,Delhi,IN,so2,6.3,µg/m³
1767,Delhi,IN,pm25,146.0,µg/m³
1768,Delhi,IN,pm10,224.0,µg/m³
1769,Delhi,IN,no2,37.3,µg/m³
1770,Delhi,IN,o3,47.6,µg/m³
1771,Delhi,IN,co,940.0,µg/m³
1772,Patna,IN,so2,6.5,µg/m³
1773,Patna,IN,no2,36.81,µg/m³
1774,Patna,IN,o3,45.64,µg/m³
1775,Patna,IN,pm25,65.94,µg/m³
1776,Patna,IN,pm10,144.53,µg/m³
1777,Patna,IN,co,950.0,µg/m³
1778,Sagar,IN,co,300.0,µg/m³
1779,Sagar,IN,pm25,17.62,µg/m³
1780,Sagar,IN,pm10,65.71,µg/m³
1781,Sagar,IN,so2,2.73,µg/m³
1782,Sagar,IN,no2,9.38,µg/m³
1783,Delhi,IN,o3,2.0,µg/m³
1784,Delhi,IN,no2,49.5,µg/m³
1785,Delhi,IN,pm25,76.0,µg/m³
1786,Delhi,IN,no2,40.3,µg/m³
1787,Delhi,IN,pm25,451.0,µg/m³
1788,KSPCB CAAQMS Hubbali,IN,no2,10.84,µg/m³
1789,KSPCB CAAQMS Hubbali,IN,o3,32.25,µg/m³
1790,KSPCB CAAQMS Hubbali,IN,co,190.0,µg/m³
1791,KSPCB CAAQMS Hubbali,IN,pm25,1.0,µg/m³
1792,KSPCB CAAQMS Hubbali,IN,pm10,14.0,µg/m³
1793,KSPCB CAAQMS Hubbali,IN,co,300.0,µg/m³
1794,KSPCB CAAQMS Hubbali,IN,no2,11.08,µg/m³
1795,KSPCB CAAQMS Hubbali,IN,o3,6.07,µg/m³
1796,KSPCB CAAQMS Hubbali,IN,so2,5.25,µg/m³
1797,KSPCB CAAQMS Hubbali,IN,so2,21.13,µg/m³
1798,KSPCB CAAQMS Hubbali,IN,pm25,13.0,µg/m³
1799,KSPCB CAAQMS Hubbali,IN,pm10,14.47,µg/m³
1800,"
Suraj Kund Road",IN,so2,8.0,µg/m³
1801,"
Suraj Kund Road",IN,pm25,75.0,µg/m³
1802,"
Suraj Kund Road",IN,pm10,493.0,µg/m³
1803,"
Suraj Kund Road",IN,co,1000.0,µg/m³
1804,"
Suraj Kund Road",IN,co,1000.0,µg/m³
1805,"
Suraj Kund Road",IN,so2,4.2,µg/m³
1806,"
Suraj Kund Road",IN,pm25,13.0,µg/m³
1807,"
Suraj Kund Road",IN,pm10,64.0,µg/m³
1808,"
Suraj Kund Road",IN,o3,74.5,µg/m³
1809,"
Suraj Kund Road",IN,no2,13.7,µg/m³
1810,"
Suraj Kund Road",IN,o3,22.0,µg/m³
1811,"
Suraj Kund Road",IN,no2,17.3,µg/m³
1812,Barddhaman,IN,no2,40.32,µg/m³
1813,Barddhaman,IN,pm10,15.58,µg/m³
1814,Barddhaman,IN,so2,29.49,µg/m³
1815,Barddhaman,IN,co,1.0,µg/m³
1816,New Delhi,IN,no2,5.8,µg/m³
1817,New Delhi,IN,pm10,570.0,µg/m³
1818,New Delhi,IN,so2,33.3,µg/m³
1819,New Delhi,IN,pm25,75.0,µg/m³
1820,New Delhi,IN,o3,58.9,µg/m³
1821,New Delhi,IN,so2,16.1,µg/m³
1822,New Delhi,IN,o3,24.9,µg/m³
1823,New Delhi,IN,co,1200.0,µg/m³
1824,New Delhi,IN,pm25,12.0,µg/m³
1825,New Delhi,IN,pm10,88.0,µg/m³
1826,New Delhi,IN,co,900.0,µg/m³
1827,New Delhi,IN,no2,16.8,µg/m³
1828,Delhi,IN,o3,11.09,µg/m³
1829,Delhi,IN,no2,5.08,µg/m³
1830,Delhi,IN,o3,80.62,µg/m³
1831,Delhi,IN,no2,12.21,µg/m³
1832,Delhi,IN,so2,47.69,µg/m³
1833,Delhi,IN,no2,92.74,µg/m³
1834,Delhi,IN,o3,73.81,µg/m³
1835,HSPCB CAAQM Station,IN,pm25,203.64,µg/m³
1836,HSPCB CAAQM Station,IN,pm10,860.35,µg/m³
1837,HSPCB CAAQM Station,IN,no2,10.14,µg/m³
1838,HSPCB CAAQM Station,IN,so2,15.84,µg/m³
1839,HSPCB CAAQM Station,IN,co,190.0,µg/m³
1840,HSPCB CAAQM Station,IN,pm25,15.42,µg/m³
1841,HSPCB CAAQM Station,IN,pm10,45.19,µg/m³
1842,HSPCB CAAQM Station,IN,o3,75.08,µg/m³
1843,HSPCB CAAQM Station,IN,no2,4.23,µg/m³
1844,HSPCB CAAQM Station,IN,o3,3.72,µg/m³
1845,HSPCB CAAQM Station,IN,so2,6.94,µg/m³
1846,HSPCB CAAQM Station,IN,co,740.0,µg/m³
1847,Kolkata,IN,pm25,15.13,µg/m³
1848,Kolkata,IN,pm10,22.2,µg/m³
1849,Kolkata,IN,so2,12.21,µg/m³
1850,Kolkata,IN,pm25,30.87,µg/m³
1851,Kolkata,IN,pm10,61.31,µg/m³
1852,Kolkata,IN,no2,6.12,µg/m³
1853,Kolkata,IN,o3,21.01,µg/m³
1854,Kolkata,IN,co,340.0,µg/m³
1855,Kolkata,IN,so2,3.25,µg/m³
1856,Kolkata,IN,co,160.0,µg/m³
1857,Kolkata,IN,no2,0.0,µg/m³
1858,Kolkata,IN,o3,34.23,µg/m³
1859,Bulding Of Ankleshwar Industries Association,IN,so2,12.49,µg/m³
1860,Bulding Of Ankleshwar Industries Association,IN,pm25,36.75,µg/m³
1861,Bulding Of Ankleshwar Industries Association,IN,pm10,70.01,µg/m³
1862,Bulding Of Ankleshwar Industries Association,IN,co,1030.0,µg/m³
1863,Bulding Of Ankleshwar Industries Association,IN,no2,104.88,µg/m³
1864,Bulding Of Ankleshwar Industries Association,IN,o3,21.44,µg/m³
1865,Bulding Of Ankleshwar Industries Association,IN,o3,33.09,µg/m³
1866,Bulding Of Ankleshwar Industries Association,IN,co,1270.0,µg/m³
1867,Bulding Of Ankleshwar Industries Association,IN,so2,0.0,µg/m³
1868,Bulding Of Ankleshwar Industries Association,IN,no2,4.61,µg/m³
1869,Bulding Of Ankleshwar Industries Association,IN,pm25,0.0,µg/m³
1870,Bulding Of Ankleshwar Industries Association,IN,pm10,57.12,µg/m³
1871,Nandesari,IN,co,10.0,µg/m³
1872,Nandesari,IN,so2,7.0,µg/m³
1873,Nandesari,IN,pm25,45.5,µg/m³
1874,Nandesari,IN,pm10,160.0,µg/m³
1875,Nandesari,IN,no2,40.0,µg/m³
1876,Mahanadi Coal fields  Limited,IN,co,2040.0,µg/m³
1877,Mahanadi Coal fields  Limited,IN,no2,6.66,µg/m³
1878,Mahanadi Coal fields  Limited,IN,pm25,32.45,µg/m³
1879,Mahanadi Coal fields  Limited,IN,pm10,62.24,µg/m³
1880,Mahanadi Coal fields  Limited,IN,so2,1.57,µg/m³
1881,Mahanadi Coal fields  Limited,IN,o3,9.94,µg/m³
1882,Mahanadi Coal fields  Limited,IN,o3,53.72,µg/m³
1883,Mahanadi Coal fields  Limited,IN,so2,6.41,µg/m³
1884,Mahanadi Coal fields  Limited,IN,pm25,0.0,µg/m³
1885,Mahanadi Coal fields  Limited,IN,pm10,67.81,µg/m³
1886,Mahanadi Coal fields  Limited,IN,no2,3.73,µg/m³
1887,Mahanadi Coal fields  Limited,IN,co,160.0,µg/m³
1888,Visakhapatnam,IN,so2,189.33,µg/m³
1889,Visakhapatnam,IN,pm25,40.0,µg/m³
1890,Visakhapatnam,IN,pm10,78.0,µg/m³
1891,Visakhapatnam,IN,co,30.0,µg/m³
1892,Visakhapatnam,IN,no2,153.02,µg/m³
1893,Visakhapatnam,IN,o3,0.21,µg/m³
1894,GVMC Building,IN,o3,19.6,µg/m³
1895,GVMC Building,IN,co,440.0,µg/m³
1896,GVMC Building,IN,pm25,22.0,µg/m³
1897,GVMC Building,IN,pm10,93.0,µg/m³
1898,GVMC Building,IN,so2,6.0,µg/m³
1899,GVMC Building,IN,no2,35.0,µg/m³
1900,GVMC Building,IN,co,470.0,µg/m³
1901,GVMC Building,IN,o3,48.0,µg/m³
1902,GVMC Building,IN,so2,9.5,µg/m³
1903,GVMC Building,IN,pm25,16.0,µg/m³
1904,GVMC Building,IN,pm10,79.0,µg/m³
1905,GVMC Building,IN,no2,22.8,µg/m³
1906,Visakhapatnam,IN,o3,33.0,µg/m³
1907,Visakhapatnam,IN,no2,90.17,µg/m³
1908,Visakhapatnam,IN,co,1450.0,µg/m³
1909,Visakhapatnam,IN,so2,7.15,µg/m³
1910,Visakhapatnam,IN,pm25,38.0,µg/m³
1911,Visakhapatnam,IN,pm10,98.0,µg/m³
1912,Visakhapatnam,IN,so2,37.9,µg/m³
1913,Visakhapatnam,IN,o3,5.4,µg/m³
1914,Visakhapatnam,IN,pm25,106.0,µg/m³
1915,Visakhapatnam,IN,pm10,295.0,µg/m³
1916,Visakhapatnam,IN,co,1120.0,µg/m³
1917,Visakhapatnam,IN,no2,110.8,µg/m³
1918,Visakhapatnam,IN,no2,16.3,µg/m³
1919,Visakhapatnam,IN,pm25,65.0,µg/m³
1920,Visakhapatnam,IN,pm10,119.0,µg/m³
1921,Visakhapatnam,IN,o3,121.8,µg/m³
1922,Visakhapatnam,IN,co,630.0,µg/m³
1923,Visakhapatnam,IN,so2,13.3,µg/m³
1924,Meerut,IN,no2,27.7,µg/m³
1925,Meerut,IN,co,1170.0,µg/m³
1926,Meerut,IN,pm25,48.0,µg/m³
1927,Meerut,IN,pm10,118.0,µg/m³
1928,Meerut,IN,so2,17.1,µg/m³
1929,Meerut,IN,o3,16.6,µg/m³
1930,Nashik,IN,pm10,41.11,µg/m³
1931,Nashik,IN,co,630.0,µg/m³
1932,Nashik,IN,no2,24.37,µg/m³
1933,Nashik,IN,o3,15.19,µg/m³
1934,Gangapur Road,IN,co,620.0,µg/m³
1935,Gangapur Road,IN,o3,25.27,µg/m³
1936,Gangapur Road,IN,co,540.0,µg/m³
1937,Gangapur Road,IN,so2,1.68,µg/m³
1938,Gangapur Road,IN,so2,1.25,µg/m³
1939,Gangapur Road,IN,pm25,14.38,µg/m³
1940,Gangapur Road,IN,pm10,44.29,µg/m³
1941,Gangapur Road,IN,pm25,12.49,µg/m³
1942,Gangapur Road,IN,pm10,39.29,µg/m³
1943,Gangapur Road,IN,o3,13.7,µg/m³
1944,Gangapur Road,IN,no2,13.85,µg/m³
1945,Gangapur Road,IN,no2,10.51,µg/m³
1946,Mandikhera,IN,so2,21.72,µg/m³
1947,Mandikhera,IN,no2,11.83,µg/m³
1948,Mandikhera,IN,pm25,174.0,µg/m³
1949,Mandikhera,IN,pm10,174.9,µg/m³
1950,Mandikhera,IN,o3,48.94,µg/m³
1951,Mandikhera,IN,co,1650.0,µg/m³
1952,Al Afiya General Hospital,IN,no2,2.93,µg/m³
1953,Al Afiya General Hospital,IN,so2,0.42,µg/m³
1954,Al Afiya General Hospital,IN,co,1000.0,µg/m³
1955,Al Afiya General Hospital,IN,pm25,86.32,µg/m³
1956,Al Afiya General Hospital,IN,pm10,238.83,µg/m³
1957,Al Afiya General Hospital,IN,so2,23.52,µg/m³
1958,Al Afiya General Hospital,IN,no2,14.73,µg/m³
1959,Al Afiya General Hospital,IN,o3,9.53,µg/m³
1960,Al Afiya General Hospital,IN,o3,32.69,µg/m³
1961,Al Afiya General Hospital,IN,co,690.0,µg/m³
1962,Al Afiya General Hospital,IN,pm25,6.6,µg/m³
1963,Al Afiya General Hospital,IN,pm10,39.0,µg/m³
1964,Howrah,IN,pm25,13.7,µg/m³
1965,Howrah,IN,pm10,12.2,µg/m³
1966,Howrah,IN,so2,7.52,µg/m³
1967,Howrah,IN,o3,34.92,µg/m³
1968,Howrah,IN,no2,54.04,µg/m³
1969,Howrah,IN,co,340.0,µg/m³
1970,YamunaNagar,IN,so2,6.51,µg/m³
1971,YamunaNagar,IN,co,1240.0,µg/m³
1972,YamunaNagar,IN,so2,3.51,µg/m³
1973,YamunaNagar,IN,no2,9.46,µg/m³
1974,YamunaNagar,IN,pm25,31.2,µg/m³
1975,YamunaNagar,IN,pm10,75.4,µg/m³
1976,YamunaNagar,IN,no2,14.13,µg/m³
1977,YamunaNagar,IN,o3,97.5,µg/m³
1978,YamunaNagar,IN,co,410.0,µg/m³
1979,YamunaNagar,IN,pm25,0.0,µg/m³
1980,YamunaNagar,IN,pm10,0.0,µg/m³
1981,YamunaNagar,IN,co,580.0,µg/m³
1982,YamunaNagar,IN,so2,0.0,µg/m³
1983,YamunaNagar,IN,pm25,53.79,µg/m³
1984,YamunaNagar,IN,pm10,73.42,µg/m³
1985,YamunaNagar,IN,o3,0.0,µg/m³
1986,YamunaNagar,IN,o3,43.74,µg/m³
1987,YamunaNagar,IN,no2,13.81,µg/m³
1988,YamunaNagar,IN,pm25,41.23,µg/m³
1989,YamunaNagar,IN,pm10,82.37,µg/m³
1990,YamunaNagar,IN,o3,28.69,µg/m³
1991,YamunaNagar,IN,co,600.0,µg/m³
1992,YamunaNagar,IN,so2,0.0,µg/m³
1993,YamunaNagar,IN,no2,11.46,µg/m³
1994,Rajamahendravaram,IN,no2,6.6,µg/m³
1995,Rajamahendravaram,IN,co,530.0,µg/m³
1996,Rajamahendravaram,IN,pm25,0.0,µg/m³
1997,Rajamahendravaram,IN,pm10,6.0,µg/m³
1998,Rajamahendravaram,IN,so2,3.8,µg/m³
1999,Rajamahendravaram,IN,o3,38.5,µg/m³
2000,Near musical Fountain ,IN,no2,0.0,µg/m³
2001,Near musical Fountain ,IN,o3,0.0,µg/m³
2002,Near musical Fountain ,IN,co,0.0,µg/m³
2003,Near musical Fountain ,IN,so2,0.0,µg/m³
2004,Near musical Fountain ,IN,no2,39.23,µg/m³
2005,Near musical Fountain ,IN,pm25,37.98,µg/m³
2006,Near musical Fountain ,IN,pm10,115.32,µg/m³
2007,Near musical Fountain ,IN,so2,3.84,µg/m³
2008,Near musical Fountain ,IN,co,480.0,µg/m³
2009,Near musical Fountain ,IN,o3,23.62,µg/m³
2010,Near musical Fountain ,IN,pm25,0.0,µg/m³
2011,Near musical Fountain ,IN,pm10,0.0,µg/m³
2012,Amritsar,IN,no2,18.54,µg/m³
2013,Amritsar,IN,co,450.0,µg/m³
2014,Amritsar,IN,so2,5.48,µg/m³
2015,Amritsar,IN,o3,10.87,µg/m³
2016,Amritsar,IN,pm25,41.22,µg/m³
2017,Amritsar,IN,pm10,107.03,µg/m³
2018,Katni,IN,no2,8.8,µg/m³
2019,Katni,IN,pm25,19.0,µg/m³
2020,Katni,IN,pm10,78.0,µg/m³
2021,Katni,IN,co,490.0,µg/m³
2022,Katni,IN,o3,30.6,µg/m³
2023,Katni,IN,so2,20.3,µg/m³
2024,Lucknow,IN,pm25,5.0,µg/m³
2025,Lucknow,IN,co,520.0,µg/m³
2026,Lucknow,IN,co,520.0,µg/m³
2027,Lucknow,IN,co,520.0,µg/m³
2028,Lucknow,IN,co,520.0,µg/m³
2029,Lucknow,IN,co,520.0,µg/m³
2030,Lucknow,IN,co,520.0,µg/m³
2031,Lucknow,IN,co,520.0,µg/m³
2032,Lucknow,IN,co,520.0,µg/m³
2033,Lucknow,IN,co,520.0,µg/m³
2034,Lucknow,IN,co,520.0,µg/m³
2035,Lucknow,IN,co,520.0,µg/m³
2036,Lucknow,IN,co,520.0,µg/m³
2037,Lucknow,IN,co,520.0,µg/m³
2038,Lucknow,IN,co,520.0,µg/m³
2039,Lucknow,IN,co,520.0,µg/m³
2040,Lucknow,IN,co,520.0,µg/m³
2041,Lucknow,IN,co,520.0,µg/m³
2042,Lucknow,IN,co,520.0,µg/m³
2043,Lucknow,IN,co,520.0,µg/m³
2044,Lucknow,IN,co,520.0,µg/m³
2045,Lucknow,IN,co,520.0,µg/m³
2046,Lucknow,IN,co,520.0,µg/m³
2047,Lucknow,IN,co,520.0,µg/m³
2048,Lucknow,IN,co,520.0,µg/m³
2049,Lucknow,IN,co,520.0,µg/m³
2050,Lucknow,IN,co,520.0,µg/m³
2051,Lucknow,IN,co,520.0,µg/m³
2052,Lucknow,IN,co,520.0,µg/m³
2053,Lucknow,IN,co,520.0,µg/m³
2054,Lucknow,IN,co,520.0,µg/m³
2055,Lucknow,IN,so2,8.5,µg/m³
2056,Lucknow,IN,co,520.0,µg/m³
2057,Lucknow,IN,co,520.0,µg/m³
2058,Lucknow,IN,co,520.0,µg/m³
2059,Lucknow,IN,co,520.0,µg/m³
2060,Lucknow,IN,co,520.0,µg/m³
2061,Lucknow,IN,co,520.0,µg/m³
2062,Lucknow,IN,co,520.0,µg/m³
2063,Lucknow,IN,co,520.0,µg/m³
2064,Lucknow,IN,co,520.0,µg/m³
2065,Lucknow,IN,co,520.0,µg/m³
2066,Lucknow,IN,co,520.0,µg/m³
2067,Lucknow,IN,co,520.0,µg/m³
2068,Lucknow,IN,co,520.0,µg/m³
2069,Lucknow,IN,co,520.0,µg/m³
2070,Lucknow,IN,co,520.0,µg/m³
2071,Lucknow,IN,co,520.0,µg/m³
2072,Lucknow,IN,co,520.0,µg/m³
2073,Lucknow,IN,co,520.0,µg/m³
2074,Lucknow,IN,co,520.0,µg/m³
2075,Lucknow,IN,co,520.0,µg/m³
2076,Lucknow,IN,co,520.0,µg/m³
2077,Lucknow,IN,co,520.0,µg/m³
2078,Lucknow,IN,co,520.0,µg/m³
2079,Lucknow,IN,co,520.0,µg/m³
2080,Lucknow,IN,co,520.0,µg/m³
2081,Lucknow,IN,co,520.0,µg/m³
2082,Lucknow,IN,co,520.0,µg/m³
2083,Lucknow,IN,co,520.0,µg/m³
2084,Lucknow,IN,co,520.0,µg/m³
2085,Lucknow,IN,co,520.0,µg/m³
2086,Lucknow,IN,co,520.0,µg/m³
2087,Lucknow,IN,co,520.0,µg/m³
2088,Lucknow,IN,no2,5.4,µg/m³
2089,Lucknow,IN,o3,42.7,µg/m³
2090,Lucknow,IN,co,520.0,µg/m³
2091,Lucknow,IN,co,520.0,µg/m³
2092,Lucknow,IN,co,520.0,µg/m³
2093,Lucknow,IN,co,520.0,µg/m³
2094,Lucknow,IN,co,520.0,µg/m³
2095,Lucknow,IN,co,520.0,µg/m³
2096,Lucknow,IN,co,520.0,µg/m³
2097,Lucknow,IN,co,520.0,µg/m³
2098,Lucknow,IN,co,520.0,µg/m³
2099,Lucknow,IN,co,520.0,µg/m³
2100,Lucknow,IN,co,520.0,µg/m³
2101,Lucknow,IN,co,520.0,µg/m³
2102,Lucknow,IN,co,520.0,µg/m³
2103,Lucknow,IN,co,520.0,µg/m³
2104,Lucknow,IN,co,520.0,µg/m³
2105,Lucknow,IN,co,520.0,µg/m³
2106,Lucknow,IN,co,520.0,µg/m³
2107,Lucknow,IN,co,520.0,µg/m³
2108,Lucknow,IN,co,520.0,µg/m³
2109,Lucknow,IN,co,520.0,µg/m³
2110,Lucknow,IN,co,520.0,µg/m³
2111,Lucknow,IN,co,520.0,µg/m³
2112,Lucknow,IN,co,520.0,µg/m³
2113,Lucknow,IN,co,520.0,µg/m³
2114,Lucknow,IN,co,520.0,µg/m³
2115,Lucknow,IN,co,520.0,µg/m³
2116,Lucknow,IN,co,520.0,µg/m³
2117,Lucknow,IN,co,520.0,µg/m³
2118,Lucknow,IN,co,520.0,µg/m³
2119,Lucknow,IN,co,520.0,µg/m³
2120,Lucknow,IN,co,520.0,µg/m³
2121,Lucknow,IN,co,520.0,µg/m³
2122,Lucknow,IN,co,520.0,µg/m³
2123,Lucknow,IN,co,520.0,µg/m³
2124,Lucknow,IN,co,520.0,µg/m³
2125,Lucknow,IN,co,520.0,µg/m³
2126,Lucknow,IN,co,520.0,µg/m³
2127,Lucknow,IN,co,520.0,µg/m³
2128,Lucknow,IN,co,520.0,µg/m³
2129,Lucknow,IN,co,520.0,µg/m³
2130,Lucknow,IN,co,520.0,µg/m³
2131,Lucknow,IN,co,520.0,µg/m³
2132,Lucknow,IN,co,520.0,µg/m³
2133,Lucknow,IN,co,520.0,µg/m³
2134,Lucknow,IN,co,520.0,µg/m³
2135,Lucknow,IN,co,520.0,µg/m³
2136,Lucknow,IN,co,520.0,µg/m³
2137,Lucknow,IN,co,520.0,µg/m³
2138,Lucknow,IN,co,520.0,µg/m³
2139,Lucknow,IN,co,520.0,µg/m³
2140,Lucknow,IN,co,520.0,µg/m³
2141,Lucknow,IN,co,520.0,µg/m³
2142,Lucknow,IN,co,520.0,µg/m³
2143,Patna,IN,co,0.0,µg/m³
2144,Patna,IN,no2,0.0,µg/m³
2145,Patna,IN,o3,0.0,µg/m³
2146,Patna,IN,pm25,0.0,µg/m³
2147,Patna,IN,pm10,0.0,µg/m³
2148,Patna,IN,so2,0.0,µg/m³
2149,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,o3,77.61,µg/m³
2150,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,pm25,22.8,µg/m³
2151,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,pm10,112.6,µg/m³
2152,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,co,740.0,µg/m³
2153,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,so2,7.22,µg/m³
2154,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,no2,18.64,µg/m³
2155,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,co,530.0,µg/m³
2156,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,no2,14.49,µg/m³
2157,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,o3,0.0,µg/m³
2158,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,pm25,191.31,µg/m³
2159,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,pm10,382.27,µg/m³
2160,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN,so2,6.97,µg/m³
2161,Haldia,IN,no2,14.02,µg/m³
2162,Haldia,IN,so2,9.29,µg/m³
2163,Haldia,IN,pm10,126.84,µg/m³
2164,Haldia,IN,co,440.0,µg/m³
2165,Haldia,IN,no2,50.67,µg/m³
2166,Haldia,IN,o3,97.63,µg/m³
2167,Haldia,IN,so2,32.19,µg/m³
2168,Haldia,IN,pm10,170.02,µg/m³
2169,Haldia,IN,co,820.0,µg/m³
2170,Haldia,IN,o3,0.0,µg/m³
2171,Haldia,IN,o3,0.0,µg/m³
2172,Haldia,IN,o3,0.0,µg/m³
2173,Haldia,IN,o3,0.0,µg/m³
